unit_id,cycle,dataset,anomaly_score,status,top_abnormal_sensors
1,1,FD001,52.9592,WARNING,"sensor_1, sensor_12, sensor_20"
1,2,FD001,34.1657,NORMAL,"sensor_8, sensor_9, sensor_7"
1,3,FD001,20.3686,NORMAL,"sensor_17, sensor_21, sensor_11"
1,4,FD001,24.0695,NORMAL,"sensor_15, sensor_3, sensor_8"
1,5,FD001,13.4377,NORMAL,"sensor_4, sensor_9, sensor_17"
1,6,FD001,19.5457,NORMAL,"sensor_4, sensor_8, sensor_7"
1,7,FD001,18.4874,NORMAL,"sensor_9, sensor_20, sensor_4"
1,8,FD001,21.0797,NORMAL,"sensor_21, sensor_9, sensor_8"
1,9,FD001,19.2149,NORMAL,"sensor_14, sensor_4, sensor_15"
1,10,FD001,25.3358,NORMAL,"sensor_2, sensor_21, sensor_11"
1,11,FD001,28.3812,NORMAL,"sensor_14, sensor_12, sensor_21"
1,12,FD001,23.6084,NORMAL,"sensor_20, sensor_8, sensor_13"
1,13,FD001,22.0969,NORMAL,"sensor_2, sensor_21, sensor_8"
1,14,FD001,29.973,NORMAL,"sensor_20, sensor_11, sensor_13"
1,15,FD001,20.924,NORMAL,"sensor_12, sensor_13, sensor_4"
1,16,FD001,13.8005,NORMAL,"sensor_4, sensor_12, sensor_21"
1,17,FD001,10.8821,NORMAL,"sensor_20, sensor_15, sensor_9"
1,18,FD001,11.1778,NORMAL,"sensor_4, sensor_3, sensor_20"
1,19,FD001,11.8763,NORMAL,"sensor_20, sensor_9, sensor_2"
1,20,FD001,18.457,NORMAL,"sensor_4, sensor_2, sensor_7"
1,21,FD001,14.2701,NORMAL,"sensor_12, sensor_8, sensor_11"
1,22,FD001,12.713,NORMAL,"sensor_9, sensor_3, sensor_8"
1,23,FD001,15.3659,NORMAL,"sensor_4, sensor_21, sensor_12"
1,24,FD001,19.3637,NORMAL,"sensor_11, sensor_8, sensor_9"
1,25,FD001,21.2827,NORMAL,"sensor_17, sensor_12, sensor_3"
1,26,FD001,20.707,NORMAL,"sensor_17, sensor_4, sensor_2"
1,27,FD001,16.6103,NORMAL,"sensor_13, sensor_8, sensor_21"
1,28,FD001,27.188,NORMAL,"sensor_17, sensor_21, sensor_7"
1,29,FD001,18.1857,NORMAL,"sensor_2, sensor_3, sensor_12"
1,30,FD001,29.0323,NORMAL,"sensor_17, sensor_14, sensor_13"
1,31,FD001,21.3246,NORMAL,"sensor_14, sensor_9, sensor_3"
1,32,FD001,23.3137,NORMAL,"sensor_7, sensor_21, sensor_11"
1,33,FD001,14.0757,NORMAL,"sensor_20, sensor_15, sensor_4"
1,34,FD001,15.7731,NORMAL,"sensor_20, sensor_11, sensor_12"
1,35,FD001,20.1994,NORMAL,"sensor_20, sensor_14, sensor_13"
1,36,FD001,19.9051,NORMAL,"sensor_4, sensor_8, sensor_3"
1,37,FD001,20.9794,NORMAL,"sensor_3, sensor_9, sensor_2"
1,38,FD001,21.331,NORMAL,"sensor_8, sensor_12, sensor_21"
1,39,FD001,18.0928,NORMAL,"sensor_11, sensor_20, sensor_7"
1,40,FD001,16.3984,NORMAL,"sensor_15, sensor_13, sensor_12"
1,41,FD001,23.7686,NORMAL,"sensor_7, sensor_11, sensor_20"
