unit_id,cycle,dataset,anomaly_score,status,top_abnormal_sensors,sensor_deviation_scores
1,1,FD001,95.0317,NORMAL,insufficient_history,
1,2,FD001,95.5116,NORMAL,insufficient_history,
1,3,FD001,78.4741,NORMAL,insufficient_history,
1,4,FD001,86.5736,NORMAL,insufficient_history,
1,5,FD001,27.4393,NORMAL,insufficient_history,
1,6,FD001,65.4501,NORMAL,insufficient_history,
1,7,FD001,51.3838,NORMAL,insufficient_history,
1,8,FD001,64.2625,NORMAL,insufficient_history,
1,9,FD001,47.8115,NORMAL,insufficient_history,
1,10,FD001,76.7243,NORMAL,"sensor_2, sensor_21, sensor_11","1.78, 1.78, 1.68"
1,11,FD001,74.0197,NORMAL,"sensor_14, sensor_12, sensor_21","2.16, 1.63, 1.58"
1,12,FD001,1.9582,NORMAL,"sensor_20, sensor_8, sensor_13","1.15, 1.09, 0.88"
1,13,FD001,79.492,NORMAL,"sensor_2, sensor_21, sensor_8","2.10, 1.72, 1.60"
1,14,FD001,39.271,NORMAL,"sensor_20, sensor_11, sensor_13","1.97, 1.52, 1.48"
1,15,FD001,38.51,NORMAL,"sensor_12, sensor_13, sensor_4","1.54, 1.48, 1.23"
1,16,FD001,6.6066,NORMAL,"sensor_4, sensor_12, sensor_21","1.69, 1.07, 1.01"
1,17,FD001,30.7256,NORMAL,"sensor_20, sensor_15, sensor_9","1.80, 1.79, 1.57"
1,18,FD001,6.1509,NORMAL,"sensor_4, sensor_3, sensor_20","1.36, 0.94, 0.85"
1,19,FD001,45.7079,NORMAL,"sensor_20, sensor_9, sensor_2","1.36, 1.32, 1.26"
1,20,FD001,54.3454,NORMAL,"sensor_4, sensor_2, sensor_7","1.66, 1.48, 1.48"
1,21,FD001,17.1926,NORMAL,"sensor_12, sensor_8, sensor_11","1.54, 1.09, 1.03"
1,22,FD001,17.4446,NORMAL,"sensor_9, sensor_3, sensor_8","2.18, 1.39, 1.00"
1,23,FD001,7.5808,NORMAL,"sensor_4, sensor_21, sensor_12","1.61, 1.45, 1.17"
1,24,FD001,41.9514,NORMAL,"sensor_11, sensor_8, sensor_9","1.83, 1.63, 1.31"
1,25,FD001,53.5844,NORMAL,"sensor_17, sensor_12, sensor_3","2.12, 1.70, 1.44"
1,26,FD001,4.7841,NORMAL,"sensor_17, sensor_4, sensor_2","2.28, 0.96, 0.82"
1,27,FD001,14.5073,NORMAL,"sensor_13, sensor_8, sensor_21","2.26, 1.09, 1.08"
1,28,FD001,66.5552,NORMAL,"sensor_17, sensor_21, sensor_7","1.91, 1.74, 1.43"
1,29,FD001,0.6107,NORMAL,"sensor_2, sensor_3, sensor_12","1.54, 0.75, 0.67"
1,30,FD001,52.7895,NORMAL,"sensor_17, sensor_14, sensor_13","1.63, 1.49, 1.45"
1,31,FD001,39.5715,NORMAL,"sensor_14, sensor_9, sensor_3","1.58, 1.43, 1.22"
1,32,FD001,50.5114,NORMAL,"sensor_7, sensor_21, sensor_11","1.88, 1.55, 1.12"
1,33,FD001,52.1642,NORMAL,"sensor_20, sensor_15, sensor_4","1.81, 1.80, 1.41"
1,34,FD001,60.6999,NORMAL,"sensor_20, sensor_11, sensor_12","1.56, 1.54, 1.50"
1,35,FD001,62.4643,NORMAL,"sensor_20, sensor_14, sensor_13","1.69, 1.66, 1.44"
1,36,FD001,25.4278,NORMAL,"sensor_4, sensor_8, sensor_3","1.73, 1.24, 1.18"
1,37,FD001,4.8762,NORMAL,"sensor_3, sensor_9, sensor_2","1.38, 1.28, 1.17"
1,38,FD001,21.521,NORMAL,"sensor_8, sensor_12, sensor_21","1.24, 1.23, 1.19"
1,39,FD001,57.559,NORMAL,"sensor_11, sensor_20, sensor_7","1.85, 1.77, 1.64"
1,40,FD001,11.2307,NORMAL,"sensor_15, sensor_13, sensor_12","1.59, 1.52, 0.75"
1,41,FD001,87.6642,WARNING,"sensor_7, sensor_11, sensor_20","1.94, 1.66, 1.30"
1,42,FD001,35.9653,NORMAL,"sensor_11, sensor_9, sensor_8","1.57, 1.44, 1.26"
1,43,FD001,85.3085,WARNING,"sensor_12, sensor_4, sensor_7","1.79, 1.67, 1.45"
1,44,FD001,23.9882,NORMAL,"sensor_13, sensor_11, sensor_21","1.36, 1.27, 1.23"
1,45,FD001,74.3978,NORMAL,"sensor_17, sensor_12, sensor_2","2.85, 1.70, 1.43"
1,46,FD001,31.8598,NORMAL,"sensor_17, sensor_9, sensor_2","1.90, 1.25, 1.13"
1,47,FD001,44.4574,NORMAL,"sensor_3, sensor_21, sensor_14","1.41, 1.35, 1.26"
1,48,FD001,35.8538,NORMAL,"sensor_9, sensor_15, sensor_2","1.50, 1.46, 1.44"
1,49,FD001,49.2802,NORMAL,"sensor_12, sensor_4, sensor_14","1.72, 1.53, 1.30"
1,50,FD001,52.0479,NORMAL,"sensor_2, sensor_13, sensor_20","1.84, 1.29, 1.22"
1,51,FD001,85.5896,WARNING,"sensor_15, sensor_8, sensor_11","2.06, 1.77, 1.59"
1,52,FD001,88.7015,WARNING,"sensor_7, sensor_17, sensor_4","2.24, 1.90, 1.70"
1,53,FD001,5.1379,NORMAL,"sensor_3, sensor_14, sensor_15","1.53, 1.06, 0.87"
1,54,FD001,45.2717,NORMAL,"sensor_21, sensor_3, sensor_12","2.15, 1.77, 1.60"
1,55,FD001,17.5319,NORMAL,"sensor_13, sensor_20, sensor_7","1.91, 1.46, 1.20"
1,56,FD001,74.3008,NORMAL,"sensor_20, sensor_8, sensor_9","2.31, 1.71, 1.69"
1,57,FD001,2.8501,NORMAL,"sensor_7, sensor_12, sensor_13","1.15, 1.15, 1.12"
1,58,FD001,18.8648,NORMAL,"sensor_17, sensor_8, sensor_2","2.06, 1.86, 1.84"
1,59,FD001,71.1696,NORMAL,"sensor_12, sensor_3, sensor_21","2.00, 1.92, 1.59"
1,60,FD001,19.112,NORMAL,"sensor_15, sensor_17, sensor_11","1.73, 1.31, 1.22"
1,61,FD001,4.0715,NORMAL,"sensor_8, sensor_13, sensor_4","1.90, 1.58, 1.44"
1,62,FD001,51.5971,NORMAL,"sensor_13, sensor_8, sensor_21","1.60, 1.23, 1.16"
1,63,FD001,83.5975,NORMAL,"sensor_11, sensor_4, sensor_17","2.05, 1.96, 1.94"
1,64,FD001,4.1346,NORMAL,"sensor_14, sensor_9, sensor_11","1.61, 1.59, 1.17"
