unit_id,cycle,dataset,anomaly_score,status,top_abnormal_sensors
1,1,FD001,0.2739,NORMAL,insufficient_history
1,2,FD001,0.5816,NORMAL,insufficient_history
1,3,FD001,51.9703,NORMAL,insufficient_history
1,4,FD001,69.89,NORMAL,insufficient_history
1,5,FD001,4.8228,NORMAL,insufficient_history
1,6,FD001,35.8684,NORMAL,insufficient_history
1,7,FD001,40.1241,NORMAL,insufficient_history
1,8,FD001,63.0362,NORMAL,insufficient_history
1,9,FD001,77.7277,NORMAL,insufficient_history
1,10,FD001,85.6914,WARNING,"sensor_2, sensor_21, sensor_11"
1,11,FD001,89.0553,WARNING,"sensor_14, sensor_12, sensor_21"
1,12,FD001,9.1658,NORMAL,"sensor_20, sensor_8, sensor_13"
1,13,FD001,90.6451,WARNING,"sensor_2, sensor_21, sensor_8"
1,14,FD001,57.7577,NORMAL,"sensor_20, sensor_11, sensor_13"
1,15,FD001,47.3317,NORMAL,"sensor_12, sensor_13, sensor_4"
1,16,FD001,14.9581,NORMAL,"sensor_4, sensor_12, sensor_21"
1,17,FD001,33.6048,NORMAL,"sensor_20, sensor_15, sensor_9"
1,18,FD001,3.771,NORMAL,"sensor_4, sensor_3, sensor_20"
1,19,FD001,51.2093,NORMAL,"sensor_20, sensor_9, sensor_2"
1,20,FD001,55.7365,NORMAL,"sensor_4, sensor_2, sensor_7"
1,21,FD001,18.8939,NORMAL,"sensor_12, sensor_8, sensor_11"
1,22,FD001,29.9161,NORMAL,"sensor_9, sensor_3, sensor_8"
1,23,FD001,51.9267,NORMAL,"sensor_4, sensor_21, sensor_12"
1,24,FD001,65.6924,NORMAL,"sensor_11, sensor_8, sensor_9"
1,25,FD001,69.4683,NORMAL,"sensor_17, sensor_12, sensor_3"
1,26,FD001,20.7697,NORMAL,"sensor_17, sensor_4, sensor_2"
1,27,FD001,43.6091,NORMAL,"sensor_13, sensor_8, sensor_21"
1,28,FD001,96.1126,WARNING,"sensor_17, sensor_21, sensor_7"
1,29,FD001,4.818,NORMAL,"sensor_2, sensor_3, sensor_12"
