dataset,engine_id,cycle,estimated_rul,health_score,anomaly_score,status,degradation_status
FD001,1,1,203.96,73.02,95.03,NORMAL,NORMAL
FD001,1,2,202.96,69.67,95.51,NORMAL,NORMAL
FD001,1,3,201.96,70.7,78.47,NORMAL,NORMAL
FD001,1,4,200.96,65.45,86.57,NORMAL,NORMAL
FD001,1,5,199.96,77.01,27.44,NORMAL,NORMAL
FD001,1,6,198.96,64.28,65.45,NORMAL,NORMAL
FD001,1,7,197.96,64.57,51.38,NORMAL,NORMAL
FD001,1,8,196.96,58.13,64.26,NORMAL,WARNING
FD001,1,9,195.96,59.01,47.81,NORMAL,WARNING
FD001,1,10,194.96,48.56,76.72,NORMAL,WARNING
FD001,1,11,193.96,46.01,74.02,NORMAL,WARNING
FD001,1,12,192.96,60.8,1.96,NORMAL,NORMAL
FD001,1,13,191.96,38.19,79.49,NORMAL,WARNING
FD001,1,14,190.96,45.02,39.27,NORMAL,WARNING
FD001,1,15,189.96,41.99,38.51,NORMAL,WARNING
FD001,1,16,188.96,46.74,6.61,NORMAL,WARNING
FD001,1,17,187.96,37.48,30.73,NORMAL,WARNING
FD001,1,18,186.96,40.4,6.15,NORMAL,WARNING
FD001,1,19,185.96,27.28,45.71,NORMAL,CRITICAL
FD001,1,20,184.96,21.9,54.35,NORMAL,CRITICAL
FD001,1,21,183.96,27.96,17.19,NORMAL,CRITICAL
FD001,1,22,182.96,24.67,17.44,NORMAL,CRITICAL
FD001,1,23,181.96,23.91,7.58,NORMAL,CRITICAL
FD001,1,24,180.96,12.09,41.95,NORMAL,CRITICAL
FD001,1,25,179.96,5.96,53.58,NORMAL,CRITICAL
FD001,1,26,178.96,14.93,4.78,NORMAL,CRITICAL
FD001,1,27,177.96,9.28,14.51,NORMAL,CRITICAL
FD001,1,28,176.96,0.0,66.56,NORMAL,CRITICAL
FD001,1,29,175.96,6.3,0.61,NORMAL,CRITICAL
FD001,1,30,174.96,0.0,52.79,NORMAL,CRITICAL
FD001,1,31,173.96,0.0,39.57,NORMAL,CRITICAL
FD001,2,1,206.24,74.2,95.03,NORMAL,NORMAL
FD001,2,2,205.24,71.7,96.86,NORMAL,NORMAL
FD001,2,3,204.24,69.58,97.17,NORMAL,NORMAL
FD001,2,4,203.24,67.04,99.17,NORMAL,NORMAL
FD001,2,5,202.24,65.28,98.05,NORMAL,NORMAL
FD001,2,6,201.24,64.13,94.52,NORMAL,NORMAL
FD001,2,7,200.24,63.17,90.17,NORMAL,NORMAL
FD001,2,8,199.24,60.33,93.35,NORMAL,NORMAL
FD001,2,9,198.24,57.4,96.93,NORMAL,WARNING
FD001,2,10,197.24,55.16,97.73,CRITICAL,CRITICAL
FD001,2,11,196.24,53.98,94.29,WARNING,WARNING
FD001,2,12,195.24,51.91,94.4,WARNING,WARNING
FD001,2,13,194.24,49.96,94.06,WARNING,WARNING
FD001,2,14,193.24,48.82,90.43,WARNING,WARNING
FD001,2,15,192.24,46.87,90.05,WARNING,WARNING
FD001,2,16,191.24,51.63,62.88,NORMAL,WARNING
FD001,2,17,190.24,40.9,97.63,CRITICAL,CRITICAL
FD001,2,18,189.24,48.93,57.36,NORMAL,WARNING
FD001,2,19,188.24,53.81,29.67,NORMAL,WARNING
FD001,2,20,187.24,52.22,27.87,NORMAL,WARNING
FD001,2,21,186.24,39.09,72.21,NORMAL,WARNING
FD001,2,22,185.24,47.9,28.81,NORMAL,WARNING
FD001,2,23,184.24,29.8,93.05,WARNING,WARNING
FD001,2,24,183.24,37.38,54.57,NORMAL,WARNING
FD001,2,25,182.24,41.17,31.23,NORMAL,WARNING
FD001,2,26,181.24,29.28,70.62,NORMAL,CRITICAL
FD001,2,27,180.24,27.63,69.07,NORMAL,CRITICAL
FD001,2,28,179.24,25.37,69.93,NORMAL,CRITICAL
FD001,2,29,178.24,35.6,20.87,NORMAL,WARNING
FD001,2,30,177.24,35.23,14.16,NORMAL,WARNING
FD001,2,31,176.24,21.84,59.58,NORMAL,CRITICAL
FD001,2,32,175.24,28.55,24.56,NORMAL,CRITICAL
FD001,2,33,174.24,20.57,48.34,NORMAL,CRITICAL
FD001,2,34,173.24,16.83,55.12,NORMAL,CRITICAL
FD001,2,35,172.24,6.7,87.48,WARNING,WARNING
FD001,2,36,171.24,23.92,10.43,NORMAL,CRITICAL
FD001,2,37,170.24,18.52,23.9,NORMAL,CRITICAL
FD001,2,38,169.24,18.13,17.27,NORMAL,CRITICAL
FD001,2,39,168.24,13.48,27.7,NORMAL,CRITICAL
FD001,2,40,167.24,15.8,10.27,NORMAL,CRITICAL
FD001,2,41,166.24,12.47,15.41,NORMAL,CRITICAL
FD001,2,42,165.24,0.0,84.73,NORMAL,CRITICAL
FD001,2,43,164.24,4.23,32.04,NORMAL,CRITICAL
FD001,2,44,163.24,10.06,0.56,NORMAL,CRITICAL
FD001,2,45,162.24,5.59,10.28,NORMAL,CRITICAL
FD001,2,46,161.24,0.0,57.14,NORMAL,CRITICAL
FD001,2,47,160.24,0.0,56.67,NORMAL,CRITICAL
