dataset,engine_id,predicted_RUL,rank,feature,shap_value,absolute_impact,effect
FD001,1,173.9602,1,cycle,47.542,47.542,increased predicted RUL
FD001,1,173.9602,2,sensor_15,18.665,18.665,increased predicted RUL
FD001,1,173.9602,3,sensor_6,-14.3636,14.3636,decreased predicted RUL
FD001,1,173.9602,4,sensor_11_rolling_mean,-6.828,6.828,decreased predicted RUL
FD001,1,173.9602,5,sensor_7,4.3122,4.3122,increased predicted RUL
FD001,1,173.9602,6,sensor_21_rolling_std,-4.2099,4.2099,decreased predicted RUL
FD001,1,173.9602,7,sensor_12,4.0857,4.0857,increased predicted RUL
FD001,1,173.9602,8,sensor_15_rolling_mean,3.7101,3.7101,increased predicted RUL
FD001,1,173.9602,9,sensor_11,-3.557,3.557,decreased predicted RUL
FD001,1,173.9602,10,sensor_6_rolling_std,3.5298,3.5298,increased predicted RUL
FD001,2,158.2383,1,cycle,41.4126,41.4126,increased predicted RUL
FD001,2,158.2383,2,sensor_11,-13.2592,13.2592,decreased predicted RUL
FD001,2,158.2383,3,sensor_6,-13.0187,13.0187,decreased predicted RUL
FD001,2,158.2383,4,sensor_15,9.9688,9.9688,increased predicted RUL
FD001,2,158.2383,5,sensor_4,-8.0453,8.0453,decreased predicted RUL
FD001,2,158.2383,6,sensor_11_rolling_mean,-5.3136,5.3136,decreased predicted RUL
FD001,2,158.2383,7,sensor_12,4.317,4.317,increased predicted RUL
FD001,2,158.2383,8,sensor_9,3.8466,3.8466,increased predicted RUL
FD001,2,158.2383,9,sensor_15_rolling_mean,3.642,3.642,increased predicted RUL
FD001,2,158.2383,10,sensor_7,3.5558,3.5558,increased predicted RUL
FD001,3,60.7249,1,cycle,-33.0524,33.0524,decreased predicted RUL
FD001,3,60.7249,2,sensor_11,-27.8043,27.8043,decreased predicted RUL
FD001,3,60.7249,3,sensor_15,13.308,13.308,increased predicted RUL
FD001,3,60.7249,4,sensor_4,-11.9608,11.9608,decreased predicted RUL
FD001,3,60.7249,5,sensor_11_rolling_mean,-7.4167,7.4167,decreased predicted RUL
FD001,3,60.7249,6,sensor_13_rolling_mean,-6.5021,6.5021,decreased predicted RUL
FD001,3,60.7249,7,sensor_12,4.1188,4.1188,increased predicted RUL
FD001,3,60.7249,8,sensor_9,4.0901,4.0901,increased predicted RUL
FD001,3,60.7249,9,sensor_6_rolling_std,4.0302,4.0302,increased predicted RUL
FD001,3,60.7249,10,sensor_13,-3.3092,3.3092,decreased predicted RUL
FD001,4,88.4358,1,cycle,-19.3187,19.3187,decreased predicted RUL
FD001,4,88.4358,2,sensor_11,-17.4525,17.4525,decreased predicted RUL
FD001,4,88.4358,3,sensor_15,9.9824,9.9824,increased predicted RUL
FD001,4,88.4358,4,sensor_4,-7.8517,7.8517,decreased predicted RUL
FD001,4,88.4358,5,sensor_11_rolling_mean,-6.7583,6.7583,decreased predicted RUL
FD001,4,88.4358,6,sensor_12,6.4237,6.4237,increased predicted RUL
FD001,4,88.4358,7,sensor_6,-4.8156,4.8156,decreased predicted RUL
FD001,4,88.4358,8,sensor_15_rolling_mean,3.7355,3.7355,increased predicted RUL
