dataset,engine_id,predicted_RUL,health_score,anomaly_score,risk_level,priority_score,maintenance_priority,top_abnormal_sensors
FD003,81,-0.29137558,0.71,97.6335,CRITICAL,99.05,IMMEDIATE INSPECTION,"sensor_9, sensor_14, sensor_8"
FD003,46,3.7978144,2.51,99.017,CRITICAL,97.71,IMMEDIATE INSPECTION,"sensor_9, sensor_14, sensor_21"
FD003,82,3.8153138,2.89,97.7994,CRITICAL,97.21,IMMEDIATE INSPECTION,"sensor_4, sensor_7, sensor_12"
FD004,12,7.242587,4.74,98.2857,CRITICAL,95.69,IMMEDIATE INSPECTION,"sensor_6, sensor_7, sensor_12"
FD001,34,6.624682,4.99,96.2484,CRITICAL,95.19,IMMEDIATE INSPECTION,"sensor_4, sensor_11, sensor_14"
FD003,24,9.879655,6.36,98.0097,CRITICAL,94.26,IMMEDIATE INSPECTION,"sensor_7, sensor_17, sensor_10"
FD001,82,9.104238,6.41,96.3405,CRITICAL,93.98,IMMEDIATE INSPECTION,"sensor_9, sensor_17, sensor_14"
FD002,182,7.996687,6.58,93.5992,CRITICAL,93.44,IMMEDIATE INSPECTION,"sensor_10, sensor_15, sensor_14"
FD001,68,13.035952,8.7,96.3598,CRITICAL,92.03,IMMEDIATE INSPECTION,"sensor_12, sensor_14, sensor_7"
FD002,173,10.355996,8.2,92.8124,CRITICAL,91.95,IMMEDIATE INSPECTION,"sensor_11, sensor_12, sensor_7"
FD003,39,14.0529995,9.4,95.9871,CRITICAL,91.37,IMMEDIATE INSPECTION,"sensor_13, sensor_14, sensor_9"
FD002,164,11.798357,9.11,92.5724,CRITICAL,91.13,IMMEDIATE INSPECTION,"sensor_13, sensor_20, sensor_5"
FD003,21,18.132206,11.07,98.3576,CRITICAL,90.28,IMMEDIATE INSPECTION,"sensor_4, sensor_10, sensor_8"
FD002,100,8.960816,9.17,86.8636,CRITICAL,90.27,IMMEDIATE INSPECTION,"sensor_13, sensor_5, sensor_21"
FD004,22,-0.7894849,7.7,74.3261,CRITICAL,89.73,IMMEDIATE INSPECTION,"sensor_5, sensor_6, sensor_1"
FD003,98,20.998491,13.54,95.6998,HIGH,87.78,SCHEDULE MAINTENANCE,"sensor_10, sensor_8, sensor_12"
FD004,159,14.938936,12.6,87.0316,CRITICAL,87.34,IMMEDIATE INSPECTION,"sensor_7, sensor_12, sensor_21"
FD002,138,2.4812732,10.5,69.8153,CRITICAL,86.69,IMMEDIATE INSPECTION,"sensor_13, sensor_19, sensor_14"
FD001,90,29.020742,17.12,99.3747,CRITICAL,85.24,IMMEDIATE INSPECTION,"sensor_4, sensor_15, sensor_11"
FD001,24,21.234724,15.61,89.2637,HIGH,85.09,SCHEDULE MAINTENANCE,"sensor_17, sensor_12, sensor_7"
