dataset,engine_id,actual_RUL,predicted_RUL,error,cycle,health_score,anomaly_score,anomaly_status,risk_level,priority_score,maintenance_priority,maintenance_recommendation,top_abnormal_sensors
FD003,81,15.0,-0.29137558,-15.2913755774498,347,0.71,97.6335,CRITICAL,CRITICAL,99.05,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is -0.3 cycles.,"sensor_9, sensor_14, sensor_8"
FD003,46,7.0,3.7978144,-3.20218563079834,204,2.51,99.017,CRITICAL,CRITICAL,97.71,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 3.8 cycles.,"sensor_9, sensor_14, sensor_21"
FD003,82,6.0,3.8153138,-2.1846861839294434,285,2.89,97.7994,CRITICAL,CRITICAL,97.21,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 3.8 cycles.,"sensor_4, sensor_7, sensor_12"
FD004,12,7.0,7.242587,0.2425870895385742,272,4.74,98.2857,CRITICAL,CRITICAL,95.69,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 7.2 cycles.,"sensor_6, sensor_7, sensor_12"
FD001,34,7.0,6.624682,-0.3753180503845215,195,4.99,96.2484,WARNING,CRITICAL,95.19,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 6.6 cycles.,"sensor_4, sensor_11, sensor_14"
FD003,24,9.0,9.879655,0.8796548843383789,494,6.36,98.0097,CRITICAL,CRITICAL,94.26,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 9.9 cycles.,"sensor_7, sensor_17, sensor_10"
FD001,82,9.0,9.104238,0.1042375564575195,214,6.41,96.3405,WARNING,CRITICAL,93.98,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 9.1 cycles.,"sensor_9, sensor_17, sensor_14"
FD002,182,14.0,7.996687,-6.003313064575195,200,6.58,93.5992,WARNING,CRITICAL,93.44,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 8.0 cycles.,"sensor_10, sensor_15, sensor_14"
FD001,68,8.0,13.035952,5.035951614379883,199,8.7,96.3598,WARNING,CRITICAL,92.03,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 13.0 cycles.,"sensor_12, sensor_14, sensor_7"
FD002,173,14.0,10.355996,-3.6440038681030273,151,8.2,92.8124,WARNING,CRITICAL,91.95,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 10.4 cycles.,"sensor_11, sensor_12, sensor_7"
FD003,39,8.0,14.0529995,6.052999496459961,288,9.4,95.9871,WARNING,CRITICAL,91.37,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 14.1 cycles.,"sensor_13, sensor_14, sensor_9"
FD002,164,14.0,11.798357,-2.2016429901123047,249,9.11,92.5724,WARNING,CRITICAL,91.13,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 11.8 cycles.,"sensor_13, sensor_20, sensor_5"
FD003,21,18.0,18.132206,0.1322059631347656,220,11.07,98.3576,CRITICAL,CRITICAL,90.28,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 18.1 cycles.,"sensor_4, sensor_10, sensor_8"
FD002,100,14.0,8.960816,-5.039183616638184,212,9.17,86.8636,WARNING,CRITICAL,90.27,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 9.0 cycles.,"sensor_13, sensor_5, sensor_21"
FD004,22,11.0,-0.7894849,-11.789484918117523,211,7.7,74.3261,NORMAL,CRITICAL,89.73,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is -0.8 cycles.,"sensor_5, sensor_6, sensor_1"
FD003,98,17.0,20.998491,3.9984912872314458,307,13.54,95.6998,WARNING,HIGH,87.78,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 21.0 cycles.,"sensor_10, sensor_8, sensor_12"
FD004,159,22.0,14.938936,-7.061063766479492,288,12.6,87.0316,WARNING,CRITICAL,87.34,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 14.9 cycles.,"sensor_7, sensor_12, sensor_21"
FD002,138,7.0,2.4812732,-4.518726825714111,200,10.5,69.8153,NORMAL,CRITICAL,86.69,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 2.5 cycles.,"sensor_13, sensor_19, sensor_14"
FD001,90,28.0,29.020742,1.020742416381836,154,17.12,99.3747,CRITICAL,CRITICAL,85.24,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 29.0 cycles.,"sensor_4, sensor_15, sensor_11"
FD001,24,20.0,21.234724,1.234724044799805,147,15.61,89.2637,WARNING,HIGH,85.09,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 21.2 cycles.,"sensor_17, sensor_12, sensor_7"
FD004,237,18.0,18.426943,0.4269428253173828,212,15.08,85.5622,WARNING,CRITICAL,85.01,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 18.4 cycles.,"sensor_13, sensor_21, sensor_6"
FD004,101,13.0,19.889427,6.889427185058594,260,15.86,85.8071,WARNING,CRITICAL,84.38,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 19.9 cycles.,"sensor_19, sensor_13, sensor_14"
FD004,15,12.0,23.162556,11.162555694580078,224,16.66,89.51,WARNING,HIGH,84.22,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 23.2 cycles.,"sensor_16, sensor_18, sensor_8"
FD004,100,7.0,11.691513,4.6915130615234375,261,14.5,74.3931,NORMAL,CRITICAL,83.91,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 11.7 cycles.,"sensor_16, sensor_18, sensor_8"
FD003,99,8.0,9.540089,1.5400886535644531,145,14.14,71.4037,NORMAL,CRITICAL,83.79,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 9.5 cycles.,"sensor_4, sensor_2, sensor_7"
FD003,92,14.0,13.194889,-0.8051109313964844,158,15.07,75.4369,NORMAL,CRITICAL,83.58,IMMEDIATE INSPECTION,Engine requires immediate inspection. Predicted RUL is 13.2 cycles.,"sensor_20, sensor_9, sensor_13"
FD004,238,16.0,24.844387,8.84438705444336,187,17.76,89.0921,WARNING,HIGH,83.21,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 24.8 cycles.,"sensor_16, sensor_3, sensor_5"
FD001,31,8.0,20.47214,12.472139358520508,234,16.89,83.5006,NORMAL,HIGH,83.16,SCHEDULE MAINTENANCE,Schedule maintenance soon. Predicted RUL is 20.5 cycles.,"sensor_13, sensor_11, sensor_14"
