,count,mean,std,min,25%,50%,75%,max,variance
sensor_1,20631.0,518.67,0.0,518.67,518.67,518.67,518.67,518.67,0.0
sensor_2,20631.0,642.6809335466046,0.5000532700606232,641.21,642.325,642.64,643.0,644.53,0.2500532728983226
sensor_3,20631.0,1590.5231186079204,6.131149519690819,1571.04,1586.26,1590.1,1594.38,1616.91,37.59099443280496
sensor_4,20631.0,1408.9337816877514,9.000604780543714,1382.25,1402.36,1408.04,1414.5549999999998,1441.49,81.01088641554637
sensor_5,20631.0,14.620000000000001,1.776399891637612e-15,14.62,14.62,14.62,14.62,14.62,3.15559657501012e-30
sensor_6,20631.0,21.60980320876352,0.0013889849127073112,21.6,21.61,21.61,21.61,21.61,1.929279087728537e-06
sensor_7,20631.0,553.367711211284,0.8850922576634073,549.85,552.81,553.44,554.01,556.06,0.7833883045757074
sensor_8,20631.0,2388.0966516407348,0.07098547889092417,2387.9,2388.05,2388.09,2388.14,2388.56,0.005038938213373842
sensor_9,20631.0,9065.242940720276,22.082879525066232,9021.73,9053.1,9060.66,9069.42,9244.59,487.65356811858936
sensor_10,20631.0,1.3,0.0,1.3,1.3,1.3,1.3,1.3,0.0
sensor_11,20631.0,47.54116814502448,0.2670873986396848,46.85,47.35,47.51,47.7,48.53,0.0713356785121139
sensor_12,20631.0,521.4134700208425,0.7375533922097114,518.69,520.96,521.48,521.95,523.38,0.5439850063600523
sensor_13,20631.0,2388.0961523920314,0.07191891569857813,2387.88,2388.04,2388.09,2388.14,2388.56,0.005172330435259187
sensor_14,20631.0,8143.752722117202,19.07617597595311,8099.94,8133.245,8140.54,8148.31,8293.72,363.9004898655306
sensor_15,20631.0,8.44214558189133,0.03750503795196652,8.3249,8.4149,8.4389,8.4656,8.5848,0.0014066278717784488
sensor_16,20631.0,0.030000000000000013,1.3878124153418844e-17,0.03,0.03,0.03,0.03,0.03,1.926023300177075e-34
sensor_17,20631.0,393.2106538703892,1.5487630246142987,388.0,392.0,393.0,394.0,400.0,2.398666906412431
sensor_18,20631.0,2388.0,0.0,2388.0,2388.0,2388.0,2388.0,2388.0,0.0
sensor_19,20631.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0
sensor_20,20631.0,38.816270660656286,0.18074642787366085,38.14,38.7,38.83,38.95,39.43,0.03266927118908848
sensor_21,20631.0,23.289705360864716,0.10825087474491234,22.8942,23.2218,23.2979,23.3668,23.6184,0.011718251883038698
