feature,mean_abs_shap
cycle,29.390762
sensor_15_rolling_mean,6.5473294
sensor_4_rolling_mean,6.0237494
sensor_9_rolling_mean,4.702069
sensor_11_rolling_mean,4.077799
sensor_14_rolling_mean,3.967714
sensor_2_rolling_mean,2.7275667
sensor_21_rolling_mean,2.5968342
sensor_8_rolling_mean,2.4428897
sensor_12_rolling_mean,2.4393137
sensor_13_rolling_mean,1.694435
sensor_3_rolling_mean,1.5416741
sensor_9_rolling_std,1.399262
sensor_7_rolling_mean,1.2746719
sensor_7_rolling_std,0.99219984
sensor_11,0.9510389
sensor_17_rolling_std,0.89870805
sensor_12_rolling_std,0.86065686
sensor_17_rolling_mean,0.8241018
sensor_20_rolling_mean,0.80835044
sensor_3_rolling_std,0.7843368
sensor_8_rolling_std,0.71050715
sensor_4_rolling_std,0.6904089
sensor_4,0.6643039
sensor_21_rolling_std,0.65855515
sensor_13_rolling_std,0.6519176
sensor_15_rolling_std,0.65095484
sensor_14_rolling_std,0.64513326
sensor_20_rolling_std,0.63844645
sensor_2_rolling_std,0.61847603
sensor_2,0.61297613
sensor_9,0.593283
sensor_9_diff,0.56367224
sensor_12,0.5479222
setting_1,0.5436023
sensor_14,0.53960955
sensor_15,0.5259093
sensor_11_rolling_std,0.5093857
sensor_3,0.45043933
sensor_7,0.42171866
sensor_20,0.41267228
sensor_21,0.3971423
setting_2,0.35863617
sensor_15_diff,0.35789132
sensor_8,0.33620095
sensor_12_diff,0.33489543
sensor_3_diff,0.32219565
sensor_2_diff,0.3054385
sensor_8_diff,0.28450105
sensor_11_diff,0.27245548
sensor_7_diff,0.25460592
sensor_21_diff,0.24800885
sensor_14_diff,0.23726301
sensor_4_diff,0.22809616
sensor_13_diff,0.20907764
sensor_6_rolling_mean,0.20305385
sensor_13,0.20117989
sensor_20_diff,0.17940114
sensor_17,0.16765149
sensor_17_diff,0.13038307
sensor_6_rolling_std,0.020026501
sensor_6_diff,0.01861506
sensor_6,0.0052900207
setting_3,0.0
