feature,importance
sensor_13,0.11004941
cycle,0.08396815
sensor_11,0.07968879
sensor_15,0.06879309
sensor_6,0.04282864
sensor_4,0.031775743
sensor_6_rolling_mean,0.024526937
sensor_16,0.023312118
sensor_9,0.022933587
sensor_5,0.02263603
sensor_6_rolling_std,0.01926137
sensor_12,0.018659493
sensor_10,0.016717106
sensor_12_rolling_mean,0.016346075
sensor_14,0.016082434
sensor_19_rolling_std,0.015418108
sensor_8,0.014876988
sensor_7_rolling_mean,0.01370311
sensor_15_rolling_mean,0.012398232
sensor_13_rolling_mean,0.012333875
sensor_7,0.011939405
sensor_11_rolling_mean,0.010067853
sensor_21,0.0098367985
sensor_16_rolling_mean,0.008878162
sensor_21_rolling_mean,0.008486367
sensor_9_rolling_mean,0.008400957
sensor_17,0.007914411
sensor_8_rolling_mean,0.007871758
sensor_13_rolling_std,0.007433347
sensor_14_rolling_mean,0.0070891054
sensor_3_rolling_mean,0.0067761275
sensor_4_rolling_mean,0.006606548
sensor_17_rolling_mean,0.006197814
sensor_8_rolling_std,0.0061498405
sensor_20_rolling_mean,0.006075233
sensor_18_rolling_mean,0.00607268
sensor_12_rolling_std,0.0059292098
sensor_20,0.0058763335
sensor_18_diff,0.005807553
sensor_21_rolling_std,0.005574616
sensor_5_rolling_mean,0.0055195396
sensor_10_rolling_mean,0.005478333
sensor_7_rolling_std,0.0054653403
sensor_18_rolling_std,0.0052206647
sensor_1,0.0051900917
sensor_10_rolling_std,0.00516158
sensor_14_rolling_std,0.0051008253
sensor_2_rolling_mean,0.0050993143
sensor_9_rolling_std,0.0050667147
sensor_20_rolling_std,0.0050113876
sensor_17_rolling_std,0.004949808
sensor_11_rolling_std,0.004892038
sensor_2,0.004889046
sensor_16_rolling_std,0.0047948523
sensor_13_diff,0.004784441
sensor_15_rolling_std,0.0047724023
sensor_10_diff,0.0047101253
sensor_2_rolling_std,0.004567291
sensor_3,0.0044134557
sensor_4_rolling_std,0.0043898444
sensor_11_diff,0.0043169293
sensor_3_rolling_std,0.004304479
sensor_7_diff,0.0041476954
sensor_15_diff,0.004110958
sensor_5_rolling_std,0.0040899883
sensor_8_diff,0.004015565
sensor_4_diff,0.004008363
sensor_20_diff,0.003991394
sensor_14_diff,0.0039606094
sensor_6_diff,0.0039303442
sensor_21_diff,0.0039195637
sensor_12_diff,0.0039101997
sensor_9_diff,0.0038889325
sensor_1_rolling_std,0.0038747548
sensor_3_diff,0.0038180302
sensor_17_diff,0.0037346312
sensor_2_diff,0.0036160946
sensor_1_rolling_mean,0.0035282979
sensor_19_rolling_mean,0.0028132598
sensor_1_diff,0.0026096017
setting_2,0.002305918
sensor_5_diff,0.0022294268
setting_1,0.002097596
sensor_16_diff,0.0012129877
setting_3,0.00079394155
sensor_19_diff,0.0
sensor_19,0.0
sensor_18,0.0
